"","X49041_Reb_TAM","X49041_Reb_TC","X49059_Reb_TAM","X49059_Reb_TC","X49827_Reb_TAM","X49827_Reb_TC","X49849_Reb_TAM","X49849_Reb_TC","X49823_EP_TAM","X49823_EP_TC","X49825_EP_TAM","X49825_EP_TC","X49830_EP_TAM","X49830_EP_TC","X49831_EP_TAM","X49831_EP_TC","X49843_EP_TAM","X49843_EP_TC","X49845_EP_TAM","X49845_EP_TC","X54359_Veh_TAM","X54359_Veh_TC","X54363_Veh_TAM","X54363_Veh_TC","X57098_Veh_TAM","X57098_Veh_TC","X57682_Veh_TAM","X57682_Veh_TC","X64247_Veh_TAM","X64247_Veh_TC"
"Ly6a",544,46,1366,32,354,1984,294,96,272,4008,80,1980,78,960,38,1294,86,6,54,48,248,195,406,603,3557,482,864,30,550,286
"Ly6c2",366,6,900,0,130,1546,198,2,290,1484,10,2546,50,1474,14,2092,16,2,42,2,28,1,9,2,1541,30,1042,15,101,5
"Zfp41",272,764,120,1158,150,202,172,928,248,50,130,18,178,68,78,110,122,14,220,66,503,140,325,81,555,1328,613,1470,584,348
"Rhpn1",16,104,10,190,6,116,0,286,10,96,2,40,0,2,0,18,0,6,14,166,1,39,0,157,8,283,4,194,5,58
"Zc3h3",90,54,76,46,64,38,92,82,100,10,38,20,72,20,42,26,30,6,58,4,147,37,114,20,140,86,195,78,132,55
"Zfp623",270,494,218,528,116,166,214,446,204,104,214,156,158,6,170,76,156,4,288,92,437,515,499,434,562,738,444,732,290,551
"Plec",752,1594,1232,2338,210,1238,750,1478,198,1390,106,1444,118,734,48,796,102,232,176,256,392,549,413,320,725,2733,734,1694,795,1319
"Foxred2",56,280,94,256,2,144,16,360,4,118,2,72,24,12,4,34,0,50,12,12,22,175,0,17,76,539,47,520,22,193
"Mpst",20,22,8,48,12,30,22,48,14,2,2,30,34,2,16,10,10,6,54,34,71,24,20,10,40,57,13,24,52,87
"C1qtnf6",92,2048,90,1834,16,262,76,1166,6,106,2,110,4,66,2,82,0,96,0,58,19,746,18,238,26,1779,112,1830,38,694
"Elfn2",2,458,8,360,2,116,0,424,10,38,4,46,0,8,10,12,0,90,8,4,1,297,2,385,11,565,1,547,12,379
"Pdxp",4,78,6,124,2,110,6,148,28,128,10,68,16,30,8,58,10,44,18,114,14,192,12,319,21,247,14,247,28,260
"Lgals1",3206,4608,2482,3294,300,1776,2276,3260,278,2754,240,1862,256,1218,332,1442,114,426,300,2244,2764,1358,2897,4256,4056,1812,4210,1491,11376,6586
"Sox10",60,5820,100,2586,46,1936,60,4790,12,60,4,74,2,50,2,84,20,1172,16,16,19,2517,24,1478,16,3264,14,3696,24,3831
"Gm10863",10,122,8,12,4,28,4,54,0,6,2,6,4,2,0,6,0,4,0,6,11,37,14,33,7,110,12,83,0,128
"Gm16576",20,8,12,12,50,24,42,36,96,2,40,10,108,2,48,2,112,4,108,0,28,0,78,0,98,29,81,24,35,8
"Cenpm",156,908,46,784,82,188,96,1184,262,130,192,44,162,24,164,16,278,94,308,26,54,719,249,1055,312,1120,227,1133,393,1906
"Fam109b",78,132,82,36,42,0,52,34,8,0,8,38,6,20,20,32,28,0,44,4,26,0,77,1,51,11,125,12,185,0
"Scube1",44,1312,4,384,8,58,40,328,82,42,94,40,28,10,8,26,6,2,22,6,44,3,61,10,53,9,23,47,14,0
